RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?æ,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region),Watched Star Wars Flim,Ranking The Flims (1-6),Chararcter Favourabilty
3289311086.0,Yes,1,I don't understand this question,0,No Response,0,Female,> 60,"$50,000 - $99,999",No Response,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['3', '5', '2', '1', '4', '6']","['Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Somewhat favorably', 'Very favorably']"
3289305272.0,No,No Response,No Response,No Response,No Response,0,No Response,No Response,No Response,No Response,No Response,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289302743.0,No,No Response,No Response,No Response,No Response,0,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289301976.0,No,No Response,No Response,No Response,No Response,0,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289282741.0,No,No Response,No Response,No Response,No Response,0,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289281855.0,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289279767.0,No,No Response,No Response,No Response,No Response,0,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289274314.0,Yes,1,Greedo,0,No Response,1,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West South Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '1', '3', '2']","['Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Very unfavorably', 'Somewhat favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
3289274207.0,No,No Response,No Response,No Response,No Response,0,Female,30-44,No Response,Bachelor degree,West South Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289262699.0,Yes,0,Greedo,0,No Response,0,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '1', '2', '3']","['Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Unfamiliar (N/A)', 'Very unfavorably', 'Unfamiliar (N/A)', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Very favorably', 'Very favorably']"
