RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?æ,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region),Watched Star Wars Flim,Ranking The Flims (1-6),Chararcter Favourabilty
No Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['Han Solo', 'Luke Skywalker', 'Princess Leia Organa', 'Anakin Skywalker', 'Obi Wan Kenobi', 'Emperor Palpatine', 'Darth Vader', 'Lando Calrissian', 'Boba Fett', 'C-3P0', 'R2 D2', 'Jar Jar Binks', 'Padme Amidala', 'Yoda']"
3292879998.0,Yes,1,I don't understand this question,1,0,0,Male,18-29,No Response,High school degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['3', '2', '1', '4', '5', '6']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292879538.0,No,No Response,No Response,No Response,No Response,1,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3292765271.0,Yes,0,I don't understand this question,0,No Response,0,Male,18-29,"$0 - $24,999",High school degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', nan, nan, nan]","['1', '2', '3', '4', '5', '6']","['Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)']"
3292763116.0,Yes,1,I don't understand this question,0,No Response,1,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '6', '1', '2', '4', '3']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292731220.0,Yes,1,Greedo,1,0,0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '4', '6', '2', '1', '3']","['Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Very unfavorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very unfavorably', 'Somewhat favorably', 'Somewhat favorably']"
3292719380.0,Yes,1,Han,1,0,1,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['1', '4', '3', '6', '5', '2']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
3292684787.0,Yes,1,Han,1,0,0,Male,18-29,No Response,High school degree,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '3', '1', '2']","['Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Very favorably']"
3292663732.0,Yes,1,Han,0,No Response,1,Male,18-29,No Response,High school degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '3', '2', '1']","['Very favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Very favorably']"
3292654043.0,Yes,1,Han,0,No Response,0,Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '4', '6', '2', '1', '3']","['Very favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Somewhat favorably']"
3292640424.0,Yes,0,I don't understand this question,0,No Response,0,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,"[nan, 'Star Wars: Episode II  Attack of the Clones', nan, nan, nan, nan]","['1', '2', '3', '4', '5', '6']","['Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat unfavorably', 'Very favorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat unfavorably', 'Very favorably']"
3292637870.0,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3292635062.0,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3292609214.0,Yes,0,Greedo,0,No Response,0,Male,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['3', '4', '5', '6', '1', '2']","['Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably']"
3292596911.0,Yes,1,I don't understand this question,0,No Response,0,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '2', '3', '1']","['Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Very unfavorably', 'Unfamiliar (N/A)', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Very favorably', 'Very favorably']"
3292587240.0,Yes,1,Han,0,No Response,0,Male,18-29,No Response,High school degree,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '2', '5', '3', '1', '6']","['Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very unfavorably', 'Very unfavorably', 'Very unfavorably', 'Very unfavorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292583038.0,Yes,1,Han,1,1,1,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '6', '5', '3', '1', '2']","['Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Very unfavorably', 'Very unfavorably', 'Somewhat favorably']"
3292580516.0,Yes,1,Han,1,1,0,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,"[nan, nan, nan, 'Star Wars: Episode IV  A New Hope', nan, nan]","['4', '1', '2', '3', '5', '6']","['Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Very unfavorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Very unfavorably']"
3292572872.0,Yes,1,Greedo,0,No Response,0,Male,18-29,No Response,Some college or Associate degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', nan, nan, 'Star Wars: Episode VI Return of the Jedi']","['1', '2', '3', '4', '5', '6']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292565282.0,Yes,1,Han,0,No Response,0,Male,18-29,No Response,High school degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '2', '3', '1', '4']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Very favorably']"
3292562297.0,Yes,1,Greedo,0,No Response,1,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '1', '4', '3', '2']","['Very favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Very unfavorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Very favorably', 'Very favorably']"
3292522349.0,Yes,1,Han,0,No Response,0,Male,18-29,No Response,Some college or Associate degree,Pacific,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '1', '2', '3']","['Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
3292521066.0,Yes,0,I don't understand this question,0,No Response,0,Male,18-29,No Response,Bachelor degree,Pacific,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', nan]","['3', '4', '5', '1', '2', '6']","['Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)']"
3292511801.0,Yes,1,Greedo,1,1,1,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '3', '1', '2']","['Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very unfavorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
3292483200.0,Yes,1,Han,0,No Response,0,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '1', '4', '2', '3', '5']","['Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
3292465491.0,Yes,1,Han,0,No Response,0,Male,18-29,No Response,No Response,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['1', '2', '6', '3', '4', '5']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292447974.0,No,No Response,No Response,No Response,No Response,1,Male,18-29,"$0 - $24,999",High school degree,East South Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3292420123.0,Yes,1,Greedo,1,0,0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '6', '5', '2', '3', '1']","['Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Somewhat favorably', 'Very favorably']"
3292384040.0,Yes,1,Greedo,0,No Response,0,Male,18-29,No Response,Some college or Associate degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '2', '3', '1']","['Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very unfavorably', 'Very unfavorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292380493.0,Yes,1,Han,1,0,0,Male,18-29,No Response,Some college or Associate degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '2', '1', '3']","['Very favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very unfavorably', 'Very unfavorably', 'Very unfavorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Very unfavorably', 'Very unfavorably', 'Very favorably']"
3292376985.0,Yes,1,Han,1,1,1,Male,18-29,"$150,000+",Some college or Associate degree,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '6', '5', '2', '1', '3']","['Very favorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Very unfavorably', 'Very favorably']"
3292366792.0,Yes,0,I don't understand this question,0,No Response,0,Male,30-44,"$0 - $24,999",High school degree,New England,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '3', '5', '6', '2', '1']","['Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Unfamiliar (N/A)', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Unfamiliar (N/A)', 'Somewhat favorably']"
3292339379.0,Yes,1,Han,1,1,1,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '2', '1', '3']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Very favorably', 'Very favorably']"
3292330840.0,Yes,0,Han,0,No Response,0,Male,18-29,No Response,No Response,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '1', '2', '3', '4', '5']","['Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably']"
3292318652.0,Yes,0,Han,0,No Response,0,Male,18-29,"$50,000 - $99,999",High school degree,Mountain,"[nan, 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', nan, nan, nan]","['6', '1', '2', '3', '4', '5']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3292297848.0,No,No Response,No Response,No Response,No Response,1,Male,30-44,"$50,000 - $99,999",Graduate degree,East South Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3292290677.0,Yes,1,Han,0,No Response,0,Male,30-44,"$150,000+",Graduate degree,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '3', '4', '1', '2', '5']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Very favorably', 'Very favorably']"
3292281095.0,Yes,1,Greedo,0,No Response,0,Male,18-29,"$0 - $24,999",Bachelor degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['3', '2', '1', '4', '6', '5']","['Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)']"
3292279889.0,Yes,1,Han,0,No Response,0,Male,18-29,No Response,Some college or Associate degree,Pacific,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['2', '4', '5', '1', '6', '3']","['Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Very unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat favorably']"
3292264069.0,Yes,1,Han,1,0,1,Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '3', '5', '1', '4', '2']","['Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat favorably']"
3292257520.0,Yes,1,Greedo,1,1,1,Male,30-44,"$0 - $24,999",High school degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '3', '2', '1']","['Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably']"
3292249492.0,Yes,1,Han,0,No Response,1,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '6', '2', '3', '4', '1']","['Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
